"pathway" "deceacelist"
"1216" "MENINGIOMA, FAMILIAL" "DNA Damage Response (only ATM dependent);Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1217" "Blood Coagulation Disorders, Inherited" "Fluoropyrimidine Activity;Selenium Micronutrient Network;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"1218" "SCHWANNOMATOSIS" ""
"1219" "Hearing Disorders" ""
"1220" "Myotonic Dystrophy" ""
"1221" "Pneumonia, Aspiration" "Type II interferon signaling (IFNG);Spinal Cord Injury;AGE/RAGE pathway;Effects of Nitric Oxide"
"1222" "Schistosomiasis japonica" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;TGF Beta Signaling Pathway;Interleukin-11 Signaling Pathway;Oxidative Stress;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;Amyotrophic lateral sclerosis (ALS);Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1223" "Hypertension, Renovascular" ""
"1224" "Otitis Media" ""
"1225" "Prostatic Diseases" "Androgen receptor signaling pathway"
"1226" "Pyruvate Metabolism, Inborn Errors" "Acetylcholine Synthesis;Glycolysis and Gluconeogenesis"
"1227" "Esophagitis" "Cytokines and Inflammatory Response"
"1228" "Adrenal Cortex Diseases" "Corticotropin-releasing hormone"
"1229" "Eye Diseases" ""
"1230" "Facial Paralysis" "Corticotropin-releasing hormone"
"1231" "Kidney Tubular Necrosis, Acute" "Nuclear Receptors in Lipid Metabolism and Toxicity;Nuclear Receptors;SREBF and miR33 in cholesterol and lipid homeostasis"
"1232" "Protein C Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"1233" "Carcinosarcoma" "Integrated Cancer pathway;DNA Damage Response;G1 to S cell cycle control;Cell Cycle;ATM Signaling Pathway;TP53 Network;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"1234" "Glaucoma, Angle-Closure" "One carbon donor"
"1235" "Anisometropia" ""
"1236" "Rickets" "Osteoblast Signaling;Vitamin D Metabolism;Pentose Phosphate Pathway;Endochondral Ossification"
"1237" "Retinoblastoma" "Primary Focal Segmental Glomerulosclerosis FSGS;IL-7 Signaling Pathway;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;DNA Damage Response;G1 to S cell cycle control;Cell Cycle;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;ID signaling pathway;TP53 Network;Apoptosis;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;miRNAs involved in DNA damage response"
"1238" "Keratomalacia" "SREBP signalling;Vitamin A and Carotenoid Metabolism"
"1239" "Rothmund-Thomson Syndrome" ""
"1240" "Multiple Endocrine Neoplasia" "Aryl Hydrocarbon Receptor;G1 to S cell cycle control;Cell Cycle"
"1241" "Medullary thyroid cancer (MTC)" "Aryl Hydrocarbon Receptor"
"1242" "Anemia, Hemolytic, Congenital" "Glycolysis and Gluconeogenesis;Pentose Phosphate Pathway;Cori Cycle"
"1243" "Epilepsy, Complex Partial" ""
"1244" "Anemia, Dyserythropoietic, Congenital" ""
"1245" "Panniculitis, Nodular Nonsuppurative" "Complement and Coagulation Cascades"
"1246" "Coxsackievirus Infections" ""
"1247" "Hyperoxaluria" "Alanine and aspartate metabolism"
"1248" "DIASTROPHIC DYSPLASIA" ""
"1249" "Candidiasis, Chronic Mucocutaneous" "Type II interferon signaling (IFNG);Allograft Rejection;TGF Beta Signaling Pathway;Cytokines and Inflammatory Response"
"1250" "Cytomegalovirus Infections" "Allograft Rejection"
"1251" "Mycobacterium Infections" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;Leptin signaling pathway;Spinal Cord Injury;Endochondral Ossification;AGE/RAGE pathway;Cytokines and Inflammatory Response"
"1252" "Dry Eye Syndromes" ""
"1253" "Pneumococcal Infections" "Toll-like receptor signaling pathway;Allograft Rejection;Structural Pathway of Interleukin 1 (IL-1);Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;Cytokines and Inflammatory Response"
"1254" "Listeriosis" ""
"1255" "Neuronal Ceroid-Lipofuscinoses" "Alanine and aspartate metabolism;Biogenic Amine Synthesis"
"1256" "Hypothyroidism" "Thyroxine (Thyroid Hormone) Production;TSH signaling pathway"
"1257" "Corneal Dystrophies, Hereditary" ""
"1258" "Chromosome Disorders" ""
"1259" "Combat Disorders" "BDNF signaling pathway"
"1260" "Thalassemia" "Estrogen metabolism;Nuclear Receptors in Lipid Metabolism and Toxicity;Tamoxifen metabolism;Codeine and Morphine Metabolism;Irinotecan Pathway;Fatty Acid Omega Oxidation;Colchicine Metabolic Pathway;Effects of Nitric Oxide"
"1261" "Gastritis" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;Integrated Cancer pathway;Allograft Rejection;Mismatch repair;FAS pathway and Stress induction of HSP regulation;SIDS Susceptibility Pathways;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1262" "Antiphospholipid Syndrome" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;One carbon donor;Vitamin B12 Metabolism;Senescence and Autophagy;Folate Metabolism"
"1263" "Conjunctival Diseases" ""
"1264" "Leukomalacia, Periventricular" "Cytokines and Inflammatory Response"
"1265" "Leiomyomatosis" "Metapathway biotransformation;Aryl Hydrocarbon Receptor;Glucocorticoid & Mineralcorticoid Metabolism;Nuclear Receptors;Tryptophan metabolism;Ovarian Infertility Genes;Oxidation by Cytochrome P450"
"1266" "HELLP Syndrome" ""
"1267" "Lung Diseases, Obstructive" ""
"1268" "Ocular Motility Disorders" "Monoamine GPCRs;GPCRs, Other;Nicotine Activity on Dopaminergic Neurons"
"1269" "Pneumonia, Pneumocystis" ""
"1270" "Coronary Stenosis" "ACE Inhibitor Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"1271" "Epstein-Barr Virus Infections" ""
"1272" "Retinal Perforations" "Spinal Cord Injury;Endochondral Ossification;Neural Crest Differentiation"
"1273" "Alcohol Withdrawal Delirium" "Monoamine Transport;Biogenic Amine Synthesis"
"1274" "Aspergillosis, Allergic Bronchopulmonary" "Regulation of toll-like receptor signaling pathway"
"1275" "Conjunctivitis, Allergic" "Pathogenic Escherichia coli infection;IL-4 Signaling Pathway"
"1276" "AIDS Dementia Complex" ""
"1277" "Neoplastic Syndromes, Hereditary" "Integrated Breast Cancer Pathway"
"1278" "Nephrosclerosis" "ACE Inhibitor Pathway;Fatty Acid Omega Oxidation"
"1279" "Cardiomyopathy, Alcoholic" "ACE Inhibitor Pathway"
"1280" "Protein S Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade;ACE Inhibitor Pathway"
"1281" "Lung Diseases, Interstitial" ""
"1282" "Melioidosis" ""
"1283" "Silicosis" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;TCR Signaling Pathway;Alzheimers Disease;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;Leptin signaling pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Hypertrophy Model;Monoamine Transport;Apoptosis Modulation and Signaling;Apoptosis;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;EBV LMP1 signaling;Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1284" "Bird Fancier's Lung" "Matrix Metalloproteinases;Angiogenesis;Oncostatin M Signaling Pathway;Endochondral Ossification"
"1285" "Sex Cord-Gonadal Stromal Tumors" ""
"1286" "Psychoses, Alcoholic" "Synaptic Vesicle Pathway;Monoamine Transport;Serotonin Transporter Activity"
"1287" "Fibromyalgia" "Allograft Rejection;SIDS Susceptibility Pathways;Spinal Cord Injury;Monoamine Transport;Serotonin Transporter Activity;Dopamine metabolism;EBV LMP1 signaling;Biogenic Amine Synthesis;Cytokines and Inflammatory Response"
"1288" "Temporomandibular Joint Disorders" "TWEAK Signaling Pathway;Vitamin B12 Metabolism"
"1289" "Infectious Mononucleosis" ""
"1290" "Medullary Sponge Kidney" "Aryl Hydrocarbon Receptor"
"1291" "Multiple Chemical Sensitivity" "Phase I biotransformations, non P450"
"1292" "Gyrate Atrophy" "Urea cycle and metabolism of amino groups"
"1293" "Ectodermal Dysplasia" "B Cell Receptor Signaling Pathway;IL17 signaling pathway;Toll-like receptor signaling pathway;NOD pathway;NLR Proteins;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;TCR Signaling Pathway;Structural Pathway of Interleukin 1 (IL-1);IL-4 Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;RANKL/RANK Signaling Pathway;Apoptosis Modulation and Signaling;Apoptosis;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;PDGF Pathway;TNF alpha Signaling Pathway;MAPK Signaling Pathway"
"1294" "Subacute Sclerosing Panencephalitis" "Matrix Metalloproteinases;Allograft Rejection;TWEAK Signaling Pathway;Inflammatory Response Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;IL-6 signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"1295" "Giant Cell Arteritis" "Type II interferon signaling (IFNG);Angiogenesis;Allograft Rejection;Osteopontin Signaling;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;AGE/RAGE pathway;Cytokines and Inflammatory Response;Folate Metabolism;Effects of Nitric Oxide"
"1296" "Onchocerciasis" ""
"1297" "Brucellosis" "Toll-like receptor signaling pathway;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;TCR Signaling Pathway;Inflammatory Response Pathway;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1298" "Scleroderma, Diffuse" "Allograft Rejection;Spinal Cord Injury;Cytokines and Inflammatory Response;Folate Metabolism"
"1299" "Warts" "Toll-like receptor signaling pathway;Allograft Rejection;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response"
"1300" "Pemphigoid, Benign Mucous Membrane" "Type II interferon signaling (IFNG);Allograft Rejection;TCR Signaling Pathway;Inflammatory Response Pathway;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;Leptin signaling pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;Endochondral Ossification;IL-1 signaling pathway;MAPK Signaling Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1301" "Blood Group Incompatibility" "Allograft Rejection;Cytokines and Inflammatory Response"
"1302" "Hepatitis D" "Proteasome Degradation;Type II interferon signaling (IFNG);Allograft Rejection"
"1303" "Nevus, Pigmented" "Nanoparticle-mediated activation of receptor signaling;Aryl Hydrocarbon Receptor;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma"
"1304" "Menopause, Premature" ""
"1305" "Rheumatic Diseases" ""
"1306" "Jaundice, Neonatal" "Estrogen metabolism;Metapathway biotransformation;Aflatoxin B1 metabolism;Glucuronidation;Codeine and Morphine Metabolism;Irinotecan Pathway;Glutathione metabolism;Arylhydrocarbon receptor (AhR) signaling pathway"
"1307" "Dextrocardia" ""
"1308" "Sigmoid Neoplasms" ""
"1309" "Dystonia Musculorum Deformans" ""
"1310" "Hepatitis E" ""
"1311" "Neurofibroma" "pilocytic astrocytoma;Signaling Pathways in Glioblastoma"
"1312" "Adenocarcinoma, Mucinous" ""
"1313" "Cystadenocarcinoma, Serous" ""
"1314" "Klinefelter Syndrome" ""
"1315" "Photosensitivity Disorders" ""
"1316" "Retinal Drusen" ""
"1317" "Schizotypal Personality Disorder" "Estrogen metabolism;Methylation Pathways;Dopamine metabolism;Biogenic Amine Synthesis"
"1318" "Dwarfism, Pituitary" "Endochondral Ossification"
"1319" "Hemangioma, Capillary" ""
"1320" "Carcinoma, Signet Ring Cell" ""
"1321" "Chorioretinitis" "Cytokines and Inflammatory Response"
"1322" "Nocturnal Myoclonus Syndrome" ""
"1323" "PANCREATIC CANCER" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);G1 to S cell cycle control;Cell Cycle;Oncostatin M Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1324" "MESOTHELIOMA, MALIGNANT" "DNA Damage Response (only ATM dependent);G1 to S cell cycle control;Cell Cycle;TP53 Network;Apoptosis;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1325" "TERATOMA, OVARIAN" "Kit receptor signaling pathway;DNA Damage Response (only ATM dependent);Spinal Cord Injury;IL-5 Signaling Pathway;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway"
"1326" "Granulosa Cell Tumor" "Aryl Hydrocarbon Receptor;Heart Development;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes"
"1327" "Jaundice, Obstructive" "Adipogenesis;Ovarian Infertility Genes"
"1328" "Dentin Dysplasia" ""
"1329" "Perivascular Epithelioid Cell Neoplasms" "TGF Beta Signaling Pathway"
"1330" "Mycosis Fungoides" ""
"1331" "Uterine Diseases" "Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway"
"1332" "Peripheral Nervous System Neoplasms" "G1 to S cell cycle control;TP53 Network;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"1333" "Sezary Syndrome" "Allograft Rejection"
"1334" "Purpura" "Allograft Rejection"
"1335" "Maxillary Sinus Neoplasms" ""
"1336" "Peritonitis, Tuberculous" ""
"1337" "Sarcoma, Clear Cell" "Gastric cancer network 2;Cardiac Progenitor Differentiation;ErbB Signaling Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"1338" "Meningitis, Viral" "Matrix Metalloproteinases;Angiogenesis;Spinal Cord Injury;AGE/RAGE pathway"
"1339" "Pelvic Inflammatory Disease" ""
"1340" "Siderosis" ""
"1341" "Anaplasmosis" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Alzheimers Disease;TGF Beta Signaling Pathway;Notch Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Apoptosis Modulation by HSP70;Monoamine Transport;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Amyotrophic lateral sclerosis (ALS);EBV LMP1 signaling;TNF alpha Signaling Pathway;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"1342" "Glossitis, Benign Migratory" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;NOD pathway;Selenium Micronutrient Network;Allograft Rejection;TCR Signaling Pathway;Alzheimers Disease;Leptin signaling pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;IL-1 signaling pathway;Serotonin Transporter Activity;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1343" "Meniere Disease" ""
"1344" "Adrenocortical Carcinoma" "miR-targeted genes in adipocytes - TarBase;Nuclear Receptors;Ovarian Infertility Genes;Integrated Breast Cancer Pathway"
"1345" "Keratoconjunctivitis Sicca" "Allograft Rejection;FAS pathway and Stress induction of HSP regulation;Inflammatory Response Pathway;Spinal Cord Injury;Hypertrophy Model;Cytokines and Inflammatory Response"
"1346" "Urticaria Pigmentosa" "Kit receptor signaling pathway"
"1347" "Epidermolysis Bullosa" ""
"1348" "Dermatomycoses" "Statin Pathway;Alzheimers Disease;Vitamin B12 Metabolism"
"1349" "Teratoma" "TP53 Network;Wnt Signaling Pathway and Pluripotency"
"1350" "Mumps" "Type II interferon signaling (IFNG);Interleukin-11 Signaling Pathway;p38 MAPK Signaling Pathway"
"1351" "Hemorrhagic Fever with Renal Syndrome" ""
"1352" "Hepatopulmonary Syndrome" "Oncostatin M Signaling Pathway;Folate Metabolism"
"1353" "Choledochal Cyst" ""
"1354" "Hyperostosis" "BDNF signaling pathway;Endochondral Ossification;AGE/RAGE pathway"
"1355" "Thromboangiitis Obliterans" ""
"1356" "Carcinoma, Ehrlich Tumor" ""
"1357" "Foot-and-Mouth Disease" "Osteoblast Signaling;Osteopontin Signaling"
"1358" "Status Asthmaticus" "Monoamine GPCRs"
"1359" "Cystadenoma, Mucinous" "TCA Cycle"
"1360" "Pulmonary Sclerosing Hemangioma" "Nuclear Receptors"
"1361" "Mixed Tumor, Malignant" ""
"1362" "Rabies" ""
"1363" "Parotitis" "Matrix Metalloproteinases;Angiogenesis;TWEAK Signaling Pathway;Osteopontin Signaling;Endochondral Ossification;AGE/RAGE pathway"
"1364" "Mixed Connective Tissue Disease" "Allograft Rejection"
"1365" "Pseudomyxoma Peritonei" ""
"1366" "Cholera" "Toll-like receptor signaling pathway;Allograft Rejection;IL-3 Signaling Pathway;TSLP Signaling Pathway;Spinal Cord Injury;EBV LMP1 signaling;Senescence and Autophagy"
"1367" "Leukemia, Mast-Cell" ""
"1368" "Milk Hypersensitivity" ""
"1369" "Ganglioneuroblastoma" "BDNF signaling pathway;Cardiac Progenitor Differentiation"
"1370" "Ganglioneuroma" ""
"1371" "Lymphocytic Choriomeningitis" "GPCRs, Other;Peptide GPCRs"
"1372" "Yersinia Infections" "Angiogenesis;Allograft Rejection;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;Oncostatin M Signaling Pathway;Hypertrophy Model;Endochondral Ossification;Heart Development"
"1373" "Mucopolysaccharidoses" ""
"1374" "Conjunctival Neoplasms" "Estrogen signaling pathway;MAPK Cascade;Serotonin Receptor 4/6/7 and NR3C Signaling"
"1375" "African Swine Fever" ""
"1376" "Gastroparesis" "Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Alzheimers Disease;Apoptosis Modulation by HSP70;Serotonin Transporter Activity;Effects of Nitric Oxide"
"1377" "Adrenal Rest Tumor" "ACE Inhibitor Pathway;Peptide GPCRs;GPCRs, Class A Rhodopsin-like"
"1378" "Chondroblastoma" "Selenium Micronutrient Network;Eicosanoid Synthesis;Prostaglandin Synthesis and Regulation"
"1379" "Endolymphatic Hydrops" ""
"1380" "Carcinoma, Giant Cell" ""
"1381" "Lysosomal Storage Diseases" "Parkin-Ubiquitin Proteasomal System pathway;Alzheimers Disease;Parkinsons Disease Pathway"
"1382" "Pemphigoid Gestationis" "TSLP Signaling Pathway"
"1383" "Blepharophimosis" ""
"1384" "Myotonic Disorders" ""
"1385" "Hyperopia" "BMP Signalling and Regulation"
"1386" "Plasmacytoma" "IL-6 signaling pathway"
"1387" "Reoviridae Infections" "Toll-like receptor signaling pathway;Apoptosis;Regulation of toll-like receptor signaling pathway"
"1388" "Hemorrhagic Fever, American" "SREBP signalling"
"1389" "Facial Neoplasms" "DNA Damage Response;miRNA Regulation of DNA Damage Response"
"1390" "Blepharitis" ""
"1391" "Retroviridae Infections" ""
"1392" "Paratuberculosis" ""
"1393" "Histiocytosis" "Spinal Cord Injury"
"1394" "Ileal Diseases" "NOD pathway"
"1395" "Osteopoikilosis" ""
"1396" "Mobius Syndrome" ""
"1397" "Euthyroid Sick Syndromes" "Selenium Micronutrient Network;Selenium Metabolism and Selenoproteins"
"1398" "Riboflavin Deficiency" "Selenium Micronutrient Network;Statin Pathway"
"1399" "Tracheal Stenosis" ""
"1400" "Papilloma, Intraductal" "Wnt Signaling Pathway and Pluripotency;Senescence and Autophagy"
"1401" "Fluorosis, Dental" "Inflammatory Response Pathway"
"1402" "Neuroma" ""
"1403" "Histoplasmosis" "Allograft Rejection"
"1404" "Placenta Accreta" "Angiogenesis;Wnt Signaling Pathway Netpath"
"1405" "Gonadoblastoma" ""
"1406" "Tangier Disease" "Selenium Micronutrient Network;Statin Pathway;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Folate Metabolism"
"1407" "Macular Degeneration" ""
"1408" "Cholecystitis" ""
"1409" "Pseudoxanthoma Elasticum" ""
"1410" "FIBRODYSPLASIA OSSIFICANS PROGRESSIVA" ""
"1411" "Hyperglycinemia, Nonketotic" "Trans-sulfuration and one carbon metabolism;One Carbon Metabolism"
"1412" "Medulloblastoma" "Wnt Signaling Pathway Netpath;DNA Damage Response (only ATM dependent);Focal Adhesion;Hedgehog Signaling Pathway;Signaling of Hepatocyte Growth Factor Receptor;DNA Damage Response;G1 to S cell cycle control;TP53 Network;Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"1413" "Bloom Syndrome" "Integrated Cancer pathway;DNA Damage Response;ATM Signaling Pathway;miRNA Regulation of DNA Damage Response;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes;Homologous recombination;RB in Cancer"
"1414" "OVARIAN CANCER" "Estrogen metabolism;Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;Focal Adhesion;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;G1 to S cell cycle control;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Spinal Cord Injury;Androgen receptor signaling pathway;IL-5 Signaling Pathway;TP53 Network;Apoptosis;EGF/EGFR Signaling Pathway;AGE/RAGE pathway;ErbB Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway;FSH signaling pathway"
"1415" "Cystic Fibrosis" "Spinal Cord Injury"
"1416" "Prostatic Neoplasms" "Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Osteopontin Signaling;Oncostatin M Signaling Pathway;Androgen receptor signaling pathway;IL-5 Signaling Pathway;TP53 Network;AGE/RAGE pathway;ErbB Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;FSH signaling pathway"
"1417" "Choroideremia" ""
"1418" "Leigh Disease" "TCA Cycle;Electron Transport Chain;Oxidative phosphorylation"
"1419" "Pilomatrixoma" ""
"1420" "Papillon-Lefevre Disease" ""
"1421" "Muscular Dystrophy, Duchenne" "Matrix Metalloproteinases"
"1422" "Lipoid Proteinosis of Urbach and Wiethe" ""
"1423" "Ectodermal Dysplasia 1, Anhidrotic" ""
"1424" "CERVICAL CANCER" "Regulation of Actin Cytoskeleton;Endochondral Ossification;Neural Crest Differentiation"
"1425" "Glycogen Storage Disease Type IV" ""
"1426" "Hallermann's Syndrome" "TarBasePathway"
"1427" "ECTODERMAL DYSPLASIA, HIDROTIC, AUTOSOMAL DOMINANT" "Calcium Regulation in the Cardiac Cell"
"1428" "GREIG CEPHALOPOLYSYNDACTYLY SYNDROME" "Hedgehog Signaling Pathway;Endochondral Ossification"
"1429" "Tay-Sachs Disease, AB Variant" ""
"1430" "Alkaptonuria" ""
"1431" "ISOVALERIC ACIDEMIA" ""
"1432" "Leukemia, Myeloid, Acute" "Aryl Hydrocarbon Receptor;IL-3 Signaling Pathway;Leptin signaling pathway;TSLP Signaling Pathway;Oncostatin M Signaling Pathway;TP53 Network;Apoptosis;Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"1433" "Romano-Ward Syndrome" "TarBasePathway;SIDS Susceptibility Pathways"
"1434" "Progeria" ""
"1435" "Chediak-Higashi Syndrome" ""
"1436" "OPITZ-KAVEGGIA SYNDROME" ""
"1437" "MELAS Syndrome" "Electron Transport Chain;Oxidative phosphorylation;Cytokines and Inflammatory Response"
"1438" "Abetalipoproteinemia" "Selenium Micronutrient Network;Statin Pathway"
"1439" "Neurofibromatosis 2" "Integrated Cancer pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"1440" "Oculocerebrorenal Syndrome" "Glycerophospholipid Biosynthetic Pathway"
"1441" "Pyruvate Dehydrogenase Complex Deficiency Disease" "Acetylcholine Synthesis;Glycolysis and Gluconeogenesis"
"1442" "Focal Dermal Hypoplasia" ""
"1443" "Noonan Syndrome" "B Cell Receptor Signaling Pathway;EPO Receptor Signaling;Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;IL-7 Signaling Pathway;BDNF signaling pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;Focal Adhesion;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Structural Pathway of Interleukin 1 (IL-1);Signaling of Hepatocyte Growth Factor Receptor;IL-3 Signaling Pathway;IL-9 Signaling Pathway;Integrin-mediated Cell Adhesion;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;TSLP Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Insulin Signaling;Nifedipine Activity;Oncostatin M Signaling Pathway;G Protein Signaling Pathways;Hypothetical Network for Drug Addiction;Regulation of Actin Cytoskeleton;IL-5 Signaling Pathway;EGF/EGFR Signaling Pathway;IL-1 signaling pathway;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);PDGF Pathway;TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;MAPK Signaling Pathway;Senescence and Autophagy;Endothelin Pathways;MAPK Cascade;pilocytic astrocytoma;Signaling Pathways in Glioblastoma;Serotonin Receptor 4/6/7 and NR3C Signaling;IL-2 Signaling Pathway"
"1444" "Cherubism" ""
"1445" "SPINAL MUSCULAR ATROPHY, TYPE III" ""
"1446" "Peutz-Jeghers Syndrome" "AMPK Signaling;Integrated Breast Cancer Pathway"
"1447" "ESOPHAGEAL CANCER" ""
"1448" "Denys-Drash Syndrome" ""
"1449" "Hyperlysinemias" ""
"1450" "Peripheral Nervous System Diseases" ""
"1451" "Ichthyosiform Erythroderma, Congenital" ""
