"pathway" "deceacelist"
"154" "Vitamin B12 Metabolism" "Alzheimer Disease;Factor VII Deficiency;Obesity;Familial Mediterranean Fever;Lupus Erythematosus, Systemic;Nervous System Diseases;Atherosclerosis;Coronary Disease;Brain Ischemia;Kidney Diseases;Hypertension, Pregnancy-Induced;Spinal Cord Diseases;Diabetes Mellitus;Ischemia;Hyperlipoproteinemias;Anemia;Nephrosis;Angioedema;Brain Diseases;Adenoma;Spondylitis, Ankylosing;Multiple Sclerosis;Sea-Blue Histiocyte Syndrome;Colitis, Ulcerative;Celiac Disease;Meningitis;Pulmonary Embolism;Glaucoma, Open-Angle;Homocystinuria;Spinal Dysraphism;Tuberculosis, Pulmonary;Endometriosis;Dengue Hemorrhagic Fever;Hyperparathyroidism, Secondary;Leishmaniasis;Periodontal Diseases;Folic Acid Deficiency;Blood Coagulation Disorders;Sinus Thrombosis, Intracranial;Brain Infarction;Behcet Syndrome;Diabetic Angiopathies;Hyperlipidemia, Familial Combined;Leukostasis;Trichuriasis;Placenta Diseases;Angina, Unstable;Coronary Thrombosis;Leukemia, Lymphoid;Meningeal Neoplasms;Schistosomiasis mansoni;Abortion, Habitual;Bacterial Infections;Syndrome;Ischemic Attack, Transient;Thrombophlebitis;Intracranial Embolism;Hypobetalipoproteinemias;Vitamin B 12 Deficiency;Temporomandibular Joint Dysfunction Syndrome;Stress Disorders, Post-Traumatic;Eclampsia;Hemoglobin C Disease;Vaginal Diseases;Burning Mouth Syndrome;Trypanosomiasis, African;Lyme Neuroborreliosis;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Lateral Sinus Thrombosis;Fabry Disease;Nephrotic Syndrome;Neutropenia;Heart Diseases;Hypertension;Diabetes Mellitus, Type 1;Cardiovascular Diseases;Pre-Eclampsia;Vascular Diseases;Hyperlipidemias;Arthritis, Rheumatoid;Proteinuria;Glomerulonephritis, Membranous;Meningitis, Aseptic;Muscular Diseases;Arteriosclerosis;Hypoglycemia;Anemia, Sickle Cell;Diabetic Neuropathies;Hepatitis C;Arthritis;Glaucoma;Pancreatitis, Chronic;Malaria, Falciparum;Leishmaniasis, Visceral;Myocarditis;Disseminated Intravascular Coagulation;Hypoprothrombinemias;Skin Diseases, Vascular;Arthritis, Psoriatic;Hyperglycemia;Myositis, Inclusion Body;Appendicitis;Delirium, Dementia, Amnestic, Cognitive Disorders;Abortion, Spontaneous;Stomach Ulcer;Arterial Occlusive Diseases;Cardiac Tamponade;Intracranial Thrombosis;Meningoencephalitis;Pericardial Effusion;Puerperal Disorders;Dementia, Multi-Infarct;Fetal Membranes, Premature Rupture;Hyperuricemia;Obstetric Labor, Premature;Polymyalgia Rheumatica;Intracranial Arteriosclerosis;Pleural Neoplasms;Monoclonal Gammopathy of Undetermined Significance;Anemia, Pernicious;Encephalomalacia;Diabetes Mellitus, Type 2;Hyperlipoproteinemia Type II;Kidney Failure, Chronic;Coronary Restenosis;Diabetic Nephropathies;Heart Failure;Stroke;Diabetes, Gestational;Metabolic Syndrome X;Aortic Aneurysm, Abdominal;Diabetic Retinopathy;Glomerulonephritis;Polycystic Ovary Syndrome;HIV Infections;Respiratory Distress Syndrome, Adult;Hypercholesterolemia;Amyloidosis;Carotid Stenosis;Multiple Myeloma;Hemochromatosis;Pulmonary Fibrosis;Parkinson Disease;Down Syndrome;Hyperhomocysteinemia;Leishmaniasis, Cutaneous;Malaria;Pancreatitis;Fatty Liver;Fatty Liver, Alcoholic;Pneumonia;Methemoglobinemia;Thyroid Diseases;Leukoencephalopathies;Cerebrovascular Disorders;Encephalitis;Iron Overload;Hyperinsulinism;alpha-Thalassemia;Tuberous Sclerosis;Pregnancy Complications;Mitochondrial Myopathies;Migraine with Aura;Meningioma;Blood Coagulation Disorders, Inherited;Schistosomiasis japonica;Esophagitis;Pneumococcal Infections;Gastritis;Antiphospholipid Syndrome;Coronary Stenosis;Silicosis;Temporomandibular Joint Disorders;Subacute Sclerosing Panencephalitis;Giant Cell Arteritis;Brucellosis;Pemphigoid, Benign Mucous Membrane;Glossitis, Benign Migratory;Dermatomycoses;Tangier Disease;Macular Degeneration;Liver Cirrhosis;Glomerulonephritis, IGA;Myocardial Infarction;Cerebral Infarction;Myocardial Ischemia;Bipolar Disorder;Nephritis, Interstitial;Anemia, Megaloblastic;Carotid Artery Diseases;Pulmonary Disease, Chronic Obstructive;Dermatitis, Contact;Hepatitis B;Bile Duct Neoplasms;Retinal Vein Occlusion;Periodontitis;Demyelinating Diseases;HIV Wasting Syndrome;Pemphigoid, Bullous;Motor Neuron Disease;Dementia, Vascular;Pregnancy Complications, Hematologic;Gastritis, Atrophic;Streptococcal Infections;Foramen Ovale, Patent;Lyme Disease;Boutonneuse Fever;Carcinoma, Bronchogenic;Vitamin K Deficiency;Hyaline Membrane Disease"
"155" "Androgen receptor signaling pathway" "Androgen-Insensitivity Syndrome;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Muscular Atrophy;Thyroid Neoplasms;Rhabdomyosarcoma;Carcinoma, Verrucous;Proteus Syndrome;COLORECTAL CANCER;Glioblastoma;Adenoma, Pleomorphic;Rubinstein-Taybi Syndrome;Carcinoma, Transitional Cell;Osteosarcoma;Prostatic Diseases;Prostatic Neoplasms;Endometrial Neoplasms;Leukemia"
"156" "miR-targeted genes in leukocytes - TarBase" ""
"157" "Glycine Metabolism" "Nervous System Diseases;Sinus Thrombosis, Intracranial;Thyrotoxicosis;Neoplasms, Squamous Cell;Thrombophlebitis;Vitamin B 12 Deficiency;Eclampsia;Lateral Sinus Thrombosis;Puerperal Disorders;Encephalomalacia;Leukoencephalopathies;Exfoliation Syndrome;Blood Coagulation Disorders, Inherited;Optic Neuropathy, Ischemic;Pregnancy Complications, Hematologic;Foramen Ovale, Patent"
"158" "Hypertrophy Model" ""
"159" "Hypothetical Network for Drug Addiction" "Alzheimer Disease;Epilepsy, Temporal Lobe;Morphine Dependence;Paget Disease, Extramammary;Substance-Related Disorders;Bipolar Disorder"
"160" "Deregulation of Rab and Rab Effector Genes in Bladder Cancer" "STORAGE POOL PLATELET DISEASE;Lymphohistiocytosis, Hemophagocytic;Muscular Dystrophies, Limb-Girdle"
"161" "Oxidative phosphorylation" "Optic Atrophy, Hereditary, Leber;Leigh Disease;MELAS Syndrome"
"162" "ID signaling pathway" "Rett Syndrome"
"163" "Catalytic cycle of mammalian FMOs" ""
"164" "Vitamin A and Carotenoid Metabolism" "Sciatic Neuropathy"
"165" "ATM Signaling Pathway" "Ataxia Telangiectasia;Carcinoma, Verrucous;Fanconi Anemia;Ganglioglioma;BREAST CANCER;Breast Neoplasms;Carcinoma, Squamous Cell;Head and Neck Neoplasms;Carcinoma, Ductal, Breast;Osteosarcoma;Leukemia, Myeloid;Bloom Syndrome;Leukemia;Li-Fraumeni Syndrome;Nijmegen Breakage Syndrome"
"166" "Benzo(a)pyrene metabolism" "BLADDER CANCER;Urinary Bladder Neoplasms;Laryngeal Neoplasms;Carcinoma, Small Cell;Echinococcosis;Occupational Diseases;Carcinoma, Squamous Cell;Polycystic Ovary Syndrome;Head and Neck Neoplasms;Endometrial Neoplasms;Carcinoma, Large Cell"
"167" "Parkinsons Disease Pathway" "Retinal Detachment;Neurodegenerative Diseases;Multiple System Atrophy;Essential Tremor;Lewy Body Disease;Shy-Drager Syndrome;Parkinson Disease"
"168" "Physiological and Pathological Hypertrophy  of the Heart" "Glioma;Heart Failure"
"169" "Globo Sphingolipid Metabolism" ""
"170" "Synaptic Vesicle Pathway" ""
"171" "Monoamine Transport" "Coronary Disease;Anxiety Disorders;Eating Disorders;Rheumatic Heart Disease;Stress Disorders, Post-Traumatic;Otitis Media with Effusion;Burning Mouth Syndrome;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Nephrotic Syndrome;Mental Disorders;Chlamydophila Infections;Leukodystrophy, Metachromatic;Sudden Infant Death;Diabetic Nephropathies;Glomerulonephritis;Hypersensitivity;Parkinson Disease;Constipation;Migraine with Aura;Alcohol Withdrawal Delirium;Panic Disorder;Bipolar Disorder;Pulmonary Disease, Chronic Obstructive;Impulse Control Disorders;HIV Wasting Syndrome"
"172" "Regulation of Actin Cytoskeleton" "Cleft Lip;Wiskott-Aldrich Syndrome;Cleft Palate;Noonan Syndrome"
"173" "IL-5 Signaling Pathway" "PROSTATE CANCER;Carcinoma, Ductal;Keratosis, Actinic;Ovarian Neoplasms;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Glioma;Cholangiocarcinoma;Choriocarcinoma;Paget Disease, Extramammary;AGAMMAGLOBULINEMIA, X-LINKED;LEOPARD Syndrome;Liver Neoplasms;Head and Neck Neoplasms;Lymphoma;OVARIAN CANCER;Prostatic Neoplasms;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Hodgkin Disease"
"174" "GPCRs, Class A Rhodopsin-like" ""
"175" "Nicotine Activity on Dopaminergic Neurons" "Heroin Dependence;Epilepsy, Frontal Lobe;Basal Ganglia Diseases;Dyskinesias;Mental Disorders;Movement Disorders;Tourette Syndrome;Dystonia;Ocular Motility Disorders;Bipolar Disorder;Obsessive-Compulsive Disorder;Dyskinesia, Drug-Induced;Schizophrenia, Paranoid;Impulse Control Disorders;Anovulation"
"176" "Apoptosis Modulation and Signaling" "Esophageal Neoplasms;Nervous System Diseases;Stomach Neoplasms;Keratosis, Actinic;Burkitt Lymphoma;Neuroblastoma;Adenocarcinoma;Arthritis, Rheumatoid;Colonic Neoplasms;Retinal Detachment;Glioblastoma;Glioma;Neurodegenerative Diseases;Glaucoma;Pancreatitis, Chronic;Autoimmune Lymphoproliferative Syndrome;Lung Neoplasms;Carcinoma, Transitional Cell;Lymphoma;Multiple Myeloma;Osteosarcoma;Graves Disease;Ectodermal Dysplasia;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Hodgkin Disease;Lymphoproliferative Disorders"
"177" "Endochondral Ossification" "BLADDER CANCER;Urinary Bladder Neoplasms;Achondroplasia;Laron Syndrome;Polydactyly;Cleft Lip;Esophageal Neoplasms;Atherosclerosis;Kidney Diseases;Muscular Atrophy;Osteoporosis;Neoplasms, Basal Cell;Thyroid Neoplasms;Periodontal Diseases;MYELOFIBROSIS;Corneal Neovascularization;Rhabdomyosarcoma;Meningeal Neoplasms;Osteochondritis Dissecans;Testicular Neoplasms;POLYDACTYLY, POSTAXIAL, TYPE A1;Pancreatic Neoplasms;Colonic Neoplasms;Infarction, Middle Cerebral Artery;Hypophosphatasia;Craniofacial Abnormalities;Glioblastoma;Glioma;Chondrosarcoma, Mesenchymal;Anemia, Sickle Cell;Diabetic Neuropathies;Primary Myelofibrosis;Acromegaly;Puberty, Precocious;Stomach Ulcer;Embolism, Cholesterol;Dementia, Multi-Infarct;Fetal Membranes, Premature Rupture;Myoma;Epidermolysis Bullosa Acquisita;Chondrosarcoma;Heart Failure;Hernia, Hiatal;Polycystic Ovary Syndrome;HYPOPHOSPHATASIA, CHILDHOOD;Carcinoma, Basal Cell;Carcinoma, Ductal, Breast;Osteosarcoma;Uremia;Pulmonary Fibrosis;Hypercalcemia;Leiomyoma;Turner Syndrome;Bone Diseases;Meningioma;Mycobacterium Infections;Osteochondrodysplasias;Corneal Diseases;Brain Edema;Dementia, Vascular;Paraparesis, Tropical Spastic;Cholesteatoma"
"178" "TP53 Network" "Ataxia Telangiectasia;LUNG CANCER;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Keratosis, Seborrheic;Carcinoma, Renal Cell;Esophageal Neoplasms;Stomach Neoplasms;Ischemia;Pituitary Neoplasms;Skin Neoplasms;Adenoma;Mesothelioma;Neoplasms, Basal Cell;Soft Tissue Neoplasms;Carcinoma, Small Cell;Thyroid Neoplasms;Seminoma;Rhabdomyosarcoma, Alveolar;Rhabdomyosarcoma;Meningeal Neoplasms;Neuroectodermal Tumors;Carcinoma in Situ;Neoplasms, Squamous Cell;Fibroadenoma;Carcinoma, Adenosquamous;Carcinoma, Ductal;Nerve Sheath Neoplasms;Carcinoma, Verrucous;Keratosis, Actinic;Cheilitis;Ovarian Neoplasms;Gastrointestinal Stromal Tumors;Burkitt Lymphoma;Carcinoma;Neuroblastoma;Adenocarcinoma;Pancreatic Neoplasms;Arthritis, Rheumatoid;Colonic Neoplasms;Colorectal Neoplasms, Hereditary Nonpolyposis;Glioblastoma;Intestinal Neoplasms;Glioma;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Pancreatitis, Chronic;Cholangiocarcinoma;Eosinophilia;Astrocytoma;Mixed Tumor, Mullerian;Papilloma, Choroid Plexus;Cystadenocarcinoma, Papillary;Adenoma, Pleomorphic;Keratoacanthoma;Papilloma, Inverted;Cystadenocarcinoma, Mucinous;Giant Cell Tumor of Bone;BREAST CANCER;Breast Neoplasms;Neurofibromatoses;Neurofibromatosis 1;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;HIV Infections;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Basal Cell;Carcinoma, Ductal, Breast;Lymphoma;Gallbladder Neoplasms;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Keratosis;Papilloma;BILIARY CIRRHOSIS, PRIMARY, 1;Barrett Esophagus;Leiomyosarcoma;Leiomyoma;Leukemia, Myeloid;Meningioma;Carcinosarcoma;Retinoblastoma;Chromosome Disorders;Neurofibroma;PANCREATIC CANCER;MESOTHELIOMA, MALIGNANT;Peripheral Nervous System Neoplasms;Teratoma;Medulloblastoma;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Neurofibromatosis 2;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Neuroendocrine Tumors;AIDS-related Kaposi sarcoma;Lymphoma, Follicular;Liver Cirrhosis, Biliary;Liposarcoma;Li-Fraumeni Syndrome;Hodgkin Disease;Carcinoma, Large Cell;Hepatitis B;Oligodendroglioma;Anus Neoplasms;Leukemia, T-Cell;Lymphoproliferative Disorders;Breast Diseases;Central Nervous System Neoplasms;Balkan Nephropathy;Newcastle Disease"
"179" "Apoptosis" "GASTRIC CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Keratosis, Seborrheic;Familial Mediterranean Fever;Carcinoma, Renal Cell;Esophageal Neoplasms;Nervous System Diseases;Stomach Neoplasms;Anemia;Skin Neoplasms;Adenoma;Mesothelioma;Multiple Sclerosis;Neoplasms, Basal Cell;Neoplasms, Germ Cell and Embryonal;Soft Tissue Neoplasms;Thyroid Neoplasms;Seminoma;Rhabdomyosarcoma;Meningeal Neoplasms;Hepatoblastoma;Carcinoma in Situ;Neoplasms, Squamous Cell;Fibroadenoma;Nerve Sheath Neoplasms;Carcinoma, Verrucous;Keratosis, Actinic;AIDS-Related Complex;Ovarian Neoplasms;Testicular Neoplasms;Burkitt Lymphoma;Carcinoma;Neuroblastoma;Adenocarcinoma;Pancreatic Neoplasms;Arthritis, Rheumatoid;Colonic Neoplasms;Retinal Detachment;Glioblastoma;Intestinal Neoplasms;Glioma;Small Cell Lung Carcinoma;Uterine Cervical Neoplasms;Glaucoma;Pancreatitis, Chronic;Cholangiocarcinoma;Fetal Membranes, Premature Rupture;Guillain-Barre Syndrome;Thymus Neoplasms;Still's Disease, Adult-Onset;Aneurysm;Chondrosarcoma;Autoimmune Lymphoproliferative Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;HIV Infections;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Basal Cell;Lymphoma;Gallbladder Neoplasms;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Leukemia-Lymphoma, Adult T-Cell;Leishmaniasis, Cutaneous;Barrett Esophagus;Graves Disease;Leiomyoma;Leukemia, Myeloid;Meningioma;Retinoblastoma;Silicosis;Ectodermal Dysplasia;PANCREATIC CANCER;MESOTHELIOMA, MALIGNANT;Peripheral Nervous System Neoplasms;Medulloblastoma;OVARIAN CANCER;Leukemia, Myeloid, Acute;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Endometrial Neoplasms;Skin Abnormalities;Leukemia;Lymphoma, Follicular;Li-Fraumeni Syndrome;Hodgkin Disease;Hepatitis B;Oligodendroglioma;Incontinentia Pigmenti;Leukemia, T-Cell;Nijmegen Breakage Syndrome;Lymphoproliferative Disorders;Breast Diseases;Uveitis, Anterior;Histiocytosis, Langerhans-Cell;Influenza, Human;Newcastle Disease"
"180" "EGF/EGFR Signaling Pathway" "Glioblastoma;LEOPARD Syndrome;Noonan Syndrome"
"181" "Fatty Acid Omega Oxidation" "Esophageal Neoplasms;Laryngeal Neoplasms;Congenital Abnormalities;Adenoma;Osteoporosis;Carcinoma, Small Cell;Liver Cirrhosis, Alcoholic;Brain Damage, Chronic;Echinococcosis;Alcoholic Neuropathy;Testicular Neoplasms;beta-Thalassemia;Hepatitis C;Pancreatitis, Chronic;Occupational Diseases;Pancreatitis, Alcoholic;Carcinoma, Squamous Cell;Liver Neoplasms;Head and Neck Neoplasms;Parkinson Disease;Pancreatitis;Opisthorchiasis;Thalassemia;Liver Cirrhosis;Dyskinesia, Drug-Induced;Carcinoma, Large Cell;Bronchitis, Chronic;Bronchitis"
"182" "Arylhydrocarbon receptor (AhR) signaling pathway" "BLADDER CANCER;Urinary Bladder Neoplasms;Pituitary Neoplasms;Adenoma;Spondylitis, Ankylosing;Carcinoma, Small Cell;Uterine Neoplasms;Endometriosis;Hyperparathyroidism, Secondary;Burning Mouth Syndrome;Fanconi Anemia;Testicular Neoplasms;Polycystic Kidney, Autosomal Recessive;Gilbert Disease;Burkitt Lymphoma;Status Epilepticus;Adenocarcinoma;Pancreatic Neoplasms;Splenic Diseases;Colonic Neoplasms;Hepatitis C;Hyperbilirubinemia;Occupational Diseases;Neuroma, Acoustic;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Liver Diseases;HIV Infections;Head and Neck Neoplasms;Leukopenia;Gallbladder Neoplasms;Leiomyoma;Leukemia, Myeloid;Liver Cirrhosis;Leukemia;Kidney Neoplasms;Neuroendocrine Tumors;Helicobacter Infections;Schizophrenia, Paranoid;Bile Duct Neoplasms;Optic Nerve Diseases;Bronchitis, Chronic;Bronchitis"
"183" "miR-targeted genes in epithelium - TarBase" ""
"184" "Regulation of toll-like receptor signaling pathway" "Meningococcal Infections;Asthma;Anemia;Colitis, Ulcerative;Celiac Disease;Agammaglobulinemia;Tuberculosis, Pulmonary;Cystitis, Interstitial;Angina, Unstable;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Schistosomiasis mansoni;Bacterial Infections;Bronchiolitis;Mycoses;Otitis Media with Effusion;Gingivitis;Vaginal Diseases;Burning Mouth Syndrome;Anthracosis;Bacteriuria;Elephantiasis, Filarial;Lyme Neuroborreliosis;Herpes Simplex;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Polychondritis, Relapsing;Vaccinia;Burkitt Lymphoma;Arthritis, Rheumatoid;Sarcoidosis;Hepatitis C;Scleroderma, Systemic;Pancreatitis, Chronic;Polymyositis;Cerebral Palsy;Fetal Membranes, Premature Rupture;Sjogren's Syndrome;Guillain-Barre Syndrome;Respiratory Syncytial Virus Infections;Chlamydia Infections;Leprosy, Lepromatous;Vaginosis, Bacterial;Molluscum Contagiosum;Aneurysm;Coronary Restenosis;Hypersensitivity;Dermatitis, Atopic;Lymphoma;Multiple Myeloma;Leukemia-Lymphoma, Adult T-Cell;Pulmonary Fibrosis;Malaria;BILIARY CIRRHOSIS, PRIMARY, 1;Myasthenia Gravis;Pneumonia;Encephalitis;Acquired Immunodeficiency Syndrome;Leprosy;Schistosomiasis japonica;Otitis Media;Pneumococcal Infections;Gastritis;Aspergillosis, Allergic Bronchopulmonary;Melioidosis;Silicosis;Ectodermal Dysplasia;Warts;Uterine Diseases;Cystic Fibrosis;Liver Cirrhosis, Biliary;Hepatitis B;Virus Diseases;Legionnaires' Disease;Incontinentia Pigmenti;HIV Wasting Syndrome;Histiocytosis, Langerhans-Cell;Tuberculosis, Meningeal;Lung Diseases, Fungal;Influenza, Human;Lyme Disease"
"185" "Serotonin Receptor 2 and STAT3 Signaling" "MYELOFIBROSIS;Primary Myelofibrosis;Thrombocythemia, Essential;Choriocarcinoma"
"186" "IL-1 signaling pathway" "Osteoporosis;Lyme Neuroborreliosis;Vaccinia;Arthritis, Rheumatoid;Scleroderma, Systemic;MERRF Syndrome;Chlamydophila Infections;Osteosarcoma;Stomatitis;Kearns-Sayre Syndrome;Silicosis;Ectodermal Dysplasia;Noonan Syndrome;HIV Wasting Syndrome;Lyme Disease"
"187" "Glial Cell Differentiation" ""
"188" "AGE/RAGE pathway" "PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Esophageal Neoplasms;Atherosclerosis;Stomach Neoplasms;Kidney Diseases;Huntington Disease;Skin Neoplasms;Mesothelioma;Thyroid Neoplasms;Mycoplasma Infections;Tuberculosis, Pulmonary;Endometriosis;MYELOFIBROSIS;Rhabdomyosarcoma;Meningeal Neoplasms;Schistosomiasis mansoni;Corneal Ulcer;Bacterial Infections;Vulvar Neoplasms;Meningitis, Pneumococcal;Otitis Media with Effusion;Lyme Neuroborreliosis;Lichen Planus;Vaccinia;Ovarian Neoplasms;Marfan Syndrome;Carcinoma;Status Epilepticus;Adenocarcinoma;Pancreatic Neoplasms;Aortic Aneurysm, Thoracic;Colonic Neoplasms;Intracranial Aneurysm;Glioblastoma;Glioma;Neurodegenerative Diseases;Carcinoma, Adenoid Cystic;Diabetic Neuropathies;Uterine Cervical Neoplasms;Scleroderma, Systemic;Cholangiocarcinoma;Primary Myelofibrosis;Hyperglycemia;Astrocytoma;Aortic Diseases;Bone Neoplasms;Aortic Aneurysm;Fetal Membranes, Premature Rupture;Escherichia coli Infections;Carcinoma, Mucoepidermoid;Choriocarcinoma;Meningitis, Bacterial;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Kidney Failure, Chronic;Carcinoma, Squamous Cell;Diabetic Nephropathies;Liver Diseases;Polycystic Ovary Syndrome;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Osteosarcoma;Brain Neoplasms;Pneumonia;Hyperinsulinism;Dermatitis;Tuberous Sclerosis;Meningioma;Schistosomiasis japonica;Retinoblastoma;Mycobacterium Infections;Pneumococcal Infections;Ectodermal Dysplasia;Giant Cell Arteritis;Hepatitis E;Meningitis, Viral;Parotitis;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Liver Cirrhosis;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Endometrial Neoplasms;Leukemia;Hodgkin Disease;Optic Nerve Diseases;Polycystic Kidney, Autosomal Dominant;Neuromuscular Diseases;Pleural Effusion, Malignant;Lyme Disease;Neurilemmoma"
"189" "miRNA Regulation of DNA Damage Response" "Ataxia Telangiectasia;Pituitary Neoplasms;Carcinoma, Verrucous;Glioblastoma;Intestinal Neoplasms;Neuroma, Acoustic;Ganglioglioma;Carcinoma, Transitional Cell;Lymphoma;Osteosarcoma;Papilloma;Retinoblastoma;Bloom Syndrome;Leukemia;Li-Fraumeni Syndrome;Nijmegen Breakage Syndrome"
"190" "miRs in Muscle Cell Differentiation" ""
"191" "ErbB Signaling Pathway" "LUNG CANCER;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Esophageal Neoplasms;Stomach Neoplasms;Pituitary Neoplasms;Mesothelioma;Rectal Neoplasms;Thyroid Neoplasms;Uterine Neoplasms;Hyperparathyroidism, Secondary;Cystitis, Interstitial;Rhabdomyosarcoma, Alveolar;Rhabdomyosarcoma;Hepatoblastoma;Carcinoma in Situ;Fibroadenoma;Carcinoma, Adenosquamous;Carcinoma, Ductal;Nerve Sheath Neoplasms;Histiocytoma, Malignant Fibrous;Carcinoma, Verrucous;Keratosis, Actinic;Ovarian Neoplasms;Polycystic Kidney, Autosomal Recessive;Carcinoma;Neuroblastoma;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Intestinal Neoplasms;Glioma;Small Cell Lung Carcinoma;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Hepatitis C;Cholangiocarcinoma;Astrocytoma;Mixed Tumor, Mullerian;Neuroma, Acoustic;Thymus Neoplasms;Adenocarcinoma, Papillary;Phyllodes Tumor;Giant Cell Tumors;Adenoma, Pleomorphic;Keratoacanthoma;Papilloma, Inverted;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Keratosis;Cecal Neoplasms;Papilloma;Hemangiosarcoma;Leiomyoma;Penile Neoplasms;Leukemia, Myeloid;Carcinosarcoma;Retinoblastoma;PANCREATIC CANCER;Peripheral Nervous System Neoplasms;Sarcoma, Clear Cell;Medulloblastoma;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Helicobacter Infections;Li-Fraumeni Syndrome;Carcinoma, Large Cell;Hepatitis B;Bile Duct Neoplasms;Adenocarcinoma, Bronchiolo-Alveolar;Cholesteatoma"
"192" "Amyotrophic lateral sclerosis (ALS)" "Alzheimer Disease;Keratosis, Seborrheic;Nervous System Diseases;Brain Ischemia;Ischemia;Amyotrophic Lateral Sclerosis;Soft Tissue Neoplasms;Epilepsy, Temporal Lobe;Schistosomiasis mansoni;Neoplasms, Squamous Cell;Lichen Planus;Status Epilepticus;Retinal Detachment;Intestinal Neoplasms;Neurodegenerative Diseases;Morphine Dependence;Thymus Neoplasms;Mastocytosis;Carcinoma, Transitional Cell;Parkinson Disease;Keratosis;Schistosomiasis japonica;PANCREATIC CANCER;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Neuroendocrine Tumors;Pulmonary Disease, Chronic Obstructive;Hodgkin Disease;Motor Neuron Disease"
"193" "Heart Development" "Tetralogy of Fallot;Telangiectasia, Hereditary Hemorrhagic;DiGeorge Syndrome;Pancreatic Neoplasms;Heart Defects, Congenital;Craniofacial Abnormalities;PULMONARY HYPERTENSION, PRIMARY, 1;AXENFELD-RIEGER SYNDROME, TYPE 1;Heart Septal Defects, Atrial;Hernia, Hiatal;Heart Septal Defects, Ventricular"
"194" "Serotonin Transporter Activity" "Autistic Disorder;Coronary Disease;Brain Ischemia;Heroin Dependence;Anxiety Disorders;Spondylitis, Ankylosing;Epilepsy, Temporal Lobe;Pulmonary Veno-Occlusive Disease;Neurotic Disorders;Pyloric Stenosis;Intermittent Claudication;Depression, Postpartum;Stomatitis, Aphthous;Diverticulitis;Thrombasthenia;Mental Disorders;Muscular Diseases;Anorexia Nervosa;Tourette Syndrome;Chlamydophila Infections;Thyroiditis, Subacute;Borderline Personality Disorder;Monoclonal Gammopathy of Undetermined Significance;Sudden Infant Death;Parkinson Disease;Constipation;Psychoses, Alcoholic;Fibromyalgia;Glossitis, Benign Migratory;Gastroparesis;Panic Disorder;Bipolar Disorder;Pulmonary Disease, Chronic Obstructive;Helicobacter Infections;Pemphigoid, Bullous"
